,Job_title,Company,Location,Salary,Date_of_post,Today_date,Summary,Job_URL
74,Business Insights Analyst,TaskUs,"Tijuana, B.C.",None,19,2020-11-22,"Passionate about technology start-ups and driving innovation with data! On the basis of this data, you will articulate key insights and best practices, provide…",https://mx.indeed.com/rc/clk?jk=b24921427163565c&fccid=e400e5c3cec6a031&vjs=3
75,Python Developer (Contract),TrailStone Group,"Monterrey, N. L.",None,16,2020-11-22,"Work in a cross-functional team with engineers, business analysts, traders and data scientists. Our team of traders, meteorologists, software engineers, risk…",https://mx.indeed.com/rc/clk?jk=5bcc643dc75555ac&fccid=1684d3322a4331bc&vjs=3
76,Full Stack Engineer - Java,Nearsoft,"Monterrey, N. L.",None,10,2020-11-22,Excellent knowledge of algorithms and data structures. You’ll be working across multiple teams from platform engineers to designers and data scientists to…,https://mx.indeed.com/company/Nearsoft/jobs/Full-stack-engineer-042a4fb89b8ecd0a?fccid=0675f07a2f1a5377&vjs=3
77,Sr DevOps Engineer - Big data project,Truelogic Software,Ciudad de México,None,26,2020-11-22,"Join an exciting new team as a Sr DevOps Engineer, working to set up an ambitious Big Data project that will allow data scientists to gain insights on…",https://mx.indeed.com/rc/clk?jk=d10aa38f3970fe20&fccid=e0d3c38393df6dda&vjs=3
78,Portfolio Analytics - Fintech,Confidencial,Ciudad de México,None,3,2020-11-22,"Working with our data scientists and collections agencies, you will play a key role in developing decisioning tools to inform our credit risk management…",https://mx.indeed.com/rc/clk?jk=346385ceee2ad05d&fccid=dd616958bd9ddc12&vjs=3
79,Lead Product Designer,Kueski,"Guadalajara, Jal.",None,10,2020-11-22,"Ability to balance business needs, data metrics, and UX. Appetite for validating ideas by running research and interpreting qualitative and quantitative data.",https://mx.indeed.com/rc/clk?jk=77bd497b9d03b03a&fccid=69404b4fd1d4bb12&vjs=3
80,Analista de Mercados Senior,ABA Finance,"Tijuana, B.C.",None,17,2020-11-22,Your contribution to our team will focus on market research by implementing marketing automation technology through various platforms to enable data-driven…,https://mx.indeed.com/rc/clk?jk=27b6f635e80b1dc2&fccid=258690ed7e7c7c9c&vjs=3
81,Principal Software Service Engineer,PerkinElmer,Ciudad de México,None,4,2020-11-22,Build clinical data interfacing capabilities into LifeCycle and in-turn implement Lampi to gather clinical data in addition to system data.,https://mx.indeed.com/rc/clk?jk=84859a812bf18c7b&fccid=dedb01f1a81e63e6&vjs=3
82,Global Solutions - Beast Developer,Kantar TNS,Ciudad de México,None,+30,2020-11-22,"1+ years’ experience in data science or statistics. Kantar is the world’s leading data, insights and consulting company. Experience with developing R packages.",https://mx.indeed.com/rc/clk?jk=e15de860cbe98430&fccid=fc0eeff012676923&vjs=3
83,Data Engineer,Reclu IT,"Guadalajara, Jal.",None,+30,2020-11-22,"Design and implement data platforms for large-scale, high performance and scalable requirements, integrating data from several data sources, managing structured…",https://mx.indeed.com/rc/clk?jk=eedf4c0d7d72bed7&fccid=bf5ef8d125c5c894&vjs=3
84,Global Solutions - Beast Developer,KANTAR,Ciudad de México,None,+30,2020-11-22,"1+ years’ experience in data science or statistics. Kantar is the world’s leading data, insights and consulting company. Experience with developing R packages.",https://mx.indeed.com/rc/clk?jk=5fc7b6e00ec2279e&fccid=fc0eeff012676923&vjs=3
85,iOS Developer,Oyster Financial Inc,Ciudad de México,None,+30,2020-11-22,"Experts from many disciplines come together to deliver phenomenal results: marketers, designers, engineers, scientists, mathematicians, you name it.",https://mx.indeed.com/rc/clk?jk=582071bd19d02fa0&fccid=c83a5e5b1cd50458&vjs=3
86,Cloud Solution Architect,Microsoft,Ciudad de México,None,5,2020-11-22,Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing.,https://mx.indeed.com/rc/clk?jk=7d738228f4d13ca2&fccid=734cb5a01ee60f80&vjs=3
87,Senior Site Reliability Engineer,Urbint,Ciudad de México,None,+30,2020-11-22,"We are a tight-knit team of coders, data scientists, infrastructure experts, entrepreneurs, and creatives working together to create and deliver cutting-edge…",https://mx.indeed.com/rc/clk?jk=a1996624f8f312f1&fccid=880c5736f444fdfd&vjs=3
88,Senior Engineer,Aspen Technology,Ciudad de México,None,24,2020-11-22,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the…",https://mx.indeed.com/rc/clk?jk=f5be61b6ff7ed0e9&fccid=b3fc015a7c99e39b&vjs=3
89,Senior Data Engineer,StartupGDL,"Guadalajara, Jal.",None,+30,2020-11-22,"You will work with data scientists, product management, and customer success teams to understand data requirements. Passion for tackling big data challenges.",https://mx.indeed.com/rc/clk?jk=575c7c14bf03daaf&fccid=942c4ec626ccb63b&vjs=3
90,Senior Software Developer,Aspen Technology,Ciudad de México,None,24,2020-11-22,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the…",https://mx.indeed.com/rc/clk?jk=e0dcf82ec9b7eb2c&fccid=b3fc015a7c99e39b&vjs=3
91,Database Analyst III,Jabil,"Guadalajara, Jal.",None,+30,2020-11-22,"Hands on experience with BIG data processing, clean, transform and prepare data. Demonstrable technical experience in BIG data analytics.",https://mx.indeed.com/rc/clk?jk=b8c23301136f0e24&fccid=0b46d1863c3b0bf5&vjs=3
92,Sr DevOps Engineer - Big data project,Truelogic Software,Ciudad de México,None,26,2020-11-22,"Join an exciting new team as a Sr DevOps Engineer, working to set up an ambitious Big Data project that will allow data scientists to gain insights on…",https://mx.indeed.com/rc/clk?jk=d10aa38f3970fe20&fccid=e0d3c38393df6dda&vjs=3
93,Portfolio Analytics - Fintech,Confidencial,Ciudad de México,None,3,2020-11-22,"Working with our data scientists and collections agencies, you will play a key role in developing decisioning tools to inform our credit risk management…",https://mx.indeed.com/rc/clk?jk=346385ceee2ad05d&fccid=dd616958bd9ddc12&vjs=3
94,Lead Product Designer,Kueski,"Guadalajara, Jal.",None,10,2020-11-22,"Ability to balance business needs, data metrics, and UX. Appetite for validating ideas by running research and interpreting qualitative and quantitative data.",https://mx.indeed.com/rc/clk?jk=77bd497b9d03b03a&fccid=69404b4fd1d4bb12&vjs=3
