,Job_title,Company,Location,Salary,Date_of_post,Today_date,Summary,Job_URL
108,Customer Enablement Engineer (Mexico City),ThousandEyes,Ciudad de México,None,2,2020-11-22,"The job is highly variable and requires both the ability to make data-driven decisions, and draw conclusions based on incomplete information.",https://mx.indeed.com/rc/clk?jk=85b022dd48666643&fccid=9e31564de67b89e3&vjs=3
109,Process Engineer,Corning,"Reynosa, Tamps.",None,29,2020-11-22,Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors; exercises judgment within generally defined practices and…,https://mx.indeed.com/rc/clk?jk=f656bea39bd64c40&fccid=31bebfb78bc1f0f1&vjs=3
110,Construction Project Manager – Data Centres,Turner & Townsend,"Querétaro, Qro.",None,2,2020-11-22,Experience in managing data centre infrastructure deployments. Manage general contractor in the preparation and room handover documentation with input as…,https://mx.indeed.com/rc/clk?jk=74f67c665bdea4b9&fccid=6803bea41688e709&vjs=3
111,"Creative Producer, LATAM",Netflix,Ciudad de México,None,+30,2020-11-22,"Write a creative strategy based on data and insights from partner teams. Ability to create clear, effective briefs grounded in data and insights.",https://mx.indeed.com/rc/clk?jk=d94ba749988dcec2&fccid=66403b30a2c0d89c&vjs=3
112,Senior Design Engineer,Yanfeng Automotive,"Ramos Arizpe, Coah.",None,+30,2020-11-22,"Degree on Mechanical, Industrial Design, Industrial Engineer or Mechatronic. Or more years of experience on mechanical design. Mexico-COAH-Ramos Arizpe-COAH.",https://mx.indeed.com/rc/clk?jk=6e7384a2e22df2e1&fccid=02006587260f9d2a&vjs=3
113,Data Scientist - Machine Learning Engineer,"Verato, Inc.","Mérida, Yuc.",None,23,2020-11-22,"To do so they apply Big Data, data mining, statistical analysis, and machine learning techniques to our Reference Database, as well as to any new data sources…",https://mx.indeed.com/rc/clk?jk=2b99eaec2d47d7ac&fccid=c0a688beb8a7cf69&vjs=3
114,ADAS Algorithm Development Engineer Sr.,Continental AG,"Querétaro, Qro.",None,10,2020-11-22,Lead a team of engineers to develop features across different projects. Skilled at analyzing large sets of data using Python/Matlab.,https://mx.indeed.com/rc/clk?jk=c92e2d2c0e1751a4&fccid=12aa2da60fa1c62f&vjs=3
115,Inside Sales Associate (English required),Smart Capital Center,"Guadalajara, Jal.","$14,000 - $21,300 al mes",2,2020-11-22,"Additionally, its data platform aggregates hundreds of data-points on every real estate property in the USA. Exceptional interpersonal skills – can communicate…",https://mx.indeed.com/company/Smart-Capital-Center/jobs/Inside-sales-associate-204acc2226c60235?fccid=1c3cbe8bd91ffb85&vjs=3
116,Process Engineer,Flex,"Querétaro, Qro.",None,+30,2020-11-22,"We will process your data in accordance with our Recruitment Privacy Notice . If you have any queries about the processing of your data, please contact:",https://mx.indeed.com/rc/clk?jk=7e92276b0f1b3e22&fccid=b4ab9735c58e3972&vjs=3
117,EHS Engineer 3rd shift,BRP,"Querétaro, Qro.",None,+30,2020-11-22,"Prepare reports which include analysis of industrial hygiene data, regulatory requirements and recommendations. 7 or more years of related experience required.",https://mx.indeed.com/rc/clk?jk=62acf2c03110d0ac&fccid=412e8fed3106e02e&vjs=3
